__template__;__title__;__vraag__;__mc1Goed__;__mc2Fout__;__mc3Fout__;__mc4Fout__;__fill1Goed__;__fill2Goed__;__fill3Goed__;__fill4Goed__;__fill5Goed__;__fill6Goed__;__fill7Goed__;__fill8Goed__;__openModelAntwoord__;__openCriterium1__;__openCriterium2__;__openCriterium3__;__openCriterium4__;__1Jaar__;__2Hoofdstuk__;__3Deel__;__4Pargrf__;__5Taal__;__6Omvang__;__7Type__;__8Bron__;__meta__
mc;la France;la France;Frankrijk;de vakantie;het zwembad;het strand;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;les vacances v mv;les vacances v mv;de vakantie;het zwembad;de zee;een beetje;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;la piscine;la piscine;het zwembad;een beetje;de tuin;de vakantie;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;un peu;un peu;een beetje;het probleem;een ding;een bericht;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;attention;attention;pas op;hoi;hallo, goedendag;oké;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;je suis;je suis;ik ben;jij spreekt;ik vind (het) leuk;ik woon;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;tu parles;tu parles;jij spreekt;wij spelen;ik vind (het) leuk;ik woon;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;français;français;Frans;klein;mooi;grappig;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;salut;salut;hoi;hallo, goedendag;pas op;oké;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;bonjour;bonjour;hallo, goedendag;pas op;hoi;oké;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;petit(e);petit(e);klein;groot;mooi;super;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;grand(e);grand(e);groot;klein;Frans;grappig;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;d'accord;d'accord;oké;bedankt;hallo, goedendag;pas op;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;mais;mais;maar;voor;en;dus;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;pour;pour;voor;maar;en;ook;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;et;et;en;maar;dus;dan;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;bien;bien;goed;groot;klein;veel;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;j'aime;j'aime;ik vind (het) leuk;wij spelen;ik woon;ik ben;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;on joue;on joue;wij spelen;jij spreekt;ik ben;ik woon;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;j'habite;j'habite;ik woon;ik vind (het) leuk;ik ben;jij spreekt;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253931,253933,253936]}"
mc;Comment tu t'appelles?;Comment tu t'appelles?;Hoe heet jij?;Waar woon jij?;Wat is dat?;Hoe gaat het?;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253932,253933,253936]}"
